I-1.mzXML height,I-10.mzXML height,I-11.mzXML height,I-12.mzXML height,I-13.mzXML height,I-14.mzXML height,I-15.mzXML height,I-16.mzXML height,I-17.mzXML height,I-18.mzXML height,I-19.mzXML height,I-2.mzXML height,I-20.mzXML height,I-21.mzXML height,I-22.mzXML height,I-3.mzXML height,I-4.mzXML height,I-5.mzXML height,I-6.mzXML height,I-7.mzXML height,I-8.mzXML height,I-9.mzXML height,J-67.mzXML height,J-68.mzXML height,J-69.mzXML height,J-70.mzXML height,J-71.mzXML height,J-72.mzXML height,J-73.mzXML height,J-74.mzXML height,J-75.mzXML height,J-76.mzXML height,J-77.mzXML height,J-78.mzXML height,J-79.mzXML height,J-80.mzXML height,J-81.mzXML height,J-82.mzXML height,J-83.mzXML height,J-84.mzXML height,J-85.mzXML height,J-86.mzXML height,J-87.mzXML height,J-88.mzXML height,Li-23.mzXML height,Li-24.mzXML height,Li-25.mzXML height,Li-26.mzXML height,Li-27.mzXML height,Li-28.mzXML height,Li-29.mzXML height,Li-30.mzXML height,Li-31.mzXML height,Li-32.mzXML height,Li-33.mzXML height,Li-34.mzXML height,Li-35.mzXML height,Li-36.mzXML height,Li-37.mzXML height,Li-38.mzXML height,Li-39.mzXML height,Li-40.mzXML height,Li-41.mzXML height,Li-42.mzXML height,Li-43.mzXML height,Li-44.mzXML height,Lu-101.mzXML height,Lu-102.mzXML height,Lu-103.mzXML height,Lu-104.mzXML height,Lu-105.mzXML height,Lu-106.mzXML height,Lu-107.mzXML height,Lu-108.mzXML height,Lu-109.mzXML height,Lu-110.mzXML height,Lu-89.mzXML height,Lu-90.mzXML height,Lu-91.mzXML height,Lu-92.mzXML height,Lu-93.mzXML height,Lu-94.mzXML height,Lu-95-rerun2.mzXML height,Lu-96.mzXML height,Lu-97.mzXML height,Lu-98.mzXML height,Lu-99.mzXML height,M-45.mzXML height,M-46.mzXML height,M-47.mzXML height,M-48.mzXML height,M-49.mzXML height,M-50.mzXML height,M-51.mzXML height,M-52.mzXML height,M-53.mzXML height,M-54.mzXML height,M-55.mzXML height,M-56.mzXML height,M-57.mzXML height,M-58.mzXML height,M-59.mzXML height,M-60.mzXML height,M-61.mzXML height,M-62.mzXML height,M-63.mzXML height,M-64.mzXML height,M-65.mzXML height,M-66.mzXML height
,411329.3312,,555995.5,516479.4334,524956.8827,537328.7109,423381.8141,474368.1548,,,,,536350.3448,517267.7188,504144.4375,,498053.3102,356199.4781,527243.0592,,357345.0287,421042.8331,477627.4256,460573.2336,,389467.7082,404121.388,482198.4457,,389914.7668,467358.4349,,437601.4497,,335504.3218,,,,,360577.7132,,459594.875,,,537060.5,521932.0938,528069.5,,,,523803.6563,508887.0544,533751.9095,537324.4375,530552,395560.9005,,,367268.3246,539358.1296,,518589.9688,,382431.6081,,462304.0938,458425.6783,470961.5927,,484499.2906,,,,,450666.1428,,,,452154.3448,,,,,,389276.1875,,367995.789,,,443534.9374,460631.253,,469808.7747,,473478.3226,,,,509246.5625,,,501259.0625,366514.8929,486434.0049,476910.6947,,,
,,,,,,,,,,,,,,,,,,,74432.3864,,,,236990.0443,,,,,,,,,,,,,,,,140807.6008,,,,,,192419.8012,,,546775.3907,,421152.75,,477655.429,438885.3438,,351758.2802,386201.25,431441.2012,354102.8929,415200.6063,474702.7482,,,406009.1955,425184.5,485965.7813,,283402.4007,275209.9375,,433071.7179,485271.4063,398935.2813,365088.3871,326702.6875,254410.6171,,,155193.1442,140538.7372,,,300688.0315,,,,156699.2767,134401.4688,,,,,,,,,,,,,,,,,,,,,
274166,235161.4771,403902.5625,122891.4881,275009.8878,,285334.1212,375508.9375,332357.625,353227.875,,279166.6393,278551.186,,314823.0313,305260.8438,308544.5,,,331651.8573,,,341151.9375,,,407713.6224,359325.8438,410745.588,319114.9348,,,213093.875,262083.7969,,282642.5593,,232263.7749,384367.4085,436293.5,,359221.4574,314541.2813,351737.2813,,,,,,247090.2567,360418.8363,508613.125,,,,,472326.1563,,,262084.3219,317302.7562,,297238.4063,,,,,,332258.125,279984.8438,367761.826,,289583.8752,,384225.1189,400237.7813,,258775.507,283733.1563,,201985.2291,,,512292.3939,331976.0313,,261951.999,,271545.8498,,,238730.4688,320481.0907,304030.0313,315827.4967,,271998.8896,,,335283.2188,,292250.1915,,293910.0383,,195294.0716,,221139.3195,,278691.625
,,,,,,,,76011.9051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,756984.238,455247.125,,668355.3746,206859.8184,,214678.875,627593.1955,,,253239.75,481107.25,,,335662.5171,,,505471.9375,,445949.9417,574423.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,123721.3672,,,115831.9122,,149744.6938,,82252.18871,142841.8125,143391.6772,113204.5234,109670.6366,122143.9688,,,112047.1245,,,,,145656.5313,129148.6973,190583.6631,134450.0625,,204885.5781,,179218.9281,132130.4131,176580.6719,,,166970.1143,,163251.6664,84528.44899,151767.8906,170401.0625,161185.5469,,121965.9063,170357.9063,96378.0869,,142181.5495,196397.5625,265971.5938,185964.4872,276396.25,,183257.2352,317838.4063,183013,230632.706,179976.4457,336179.7188,,204282.0469,,164575.0416,222840.2031,321458.9688,,211725.2774,173541.7523,149812.418,,,159302.7998,180775.8438,,100430.6936,112037.5512,120231.0283,,150816.8125,,,107947.7813,124626.8441,,355923.2086,56935.03471,,,103764.6247,,501300.125,267958.6875,370532.5313,411373.2538,,,318144.7872,327322.3438,402609,278179.4688,,405773.8383,176991.7176,374763.2813,361171.5938,398652.4688,445374.4688,362126.942,330347.4063,,296540.087
,,,,,,,,64784.55145,,,,,40037.74138,,,,,25699.99847,,,,100203.4781,93361.37463,,,,77016.32576,,60787.86197,54566.43178,,,,,,,,,54253.90573,64686.29297,52380.61973,,40883.90978,,,252831.9167,303213.2188,256799.9733,327742.7644,436526.5,191129.9844,443439.5216,240493.2656,258954.8125,225031.0625,330478.6218,196934.1411,177628.8538,154616.3774,239258.2693,196671.8068,270741.4375,264533.9217,271286.3438,,,67436.5625,,130705.1011,,,55812.38132,,,50490.33984,,39126.24165,,,41318.72808,,251099.125,,,,24348.52398,,,,,,,,,,,,,,,,,,,,,,
332026.0403,,316766.2813,348955.875,343399.5625,241228.1738,,333772.9375,345672.624,322344.7609,311921.9063,329718.625,285415.9346,,,352123.5313,161593.6197,327778.2138,330736.1138,267839.0044,278982.7019,346168.9688,389311.6028,393273.9063,203947.4732,281952.3873,281371.5809,393461.4571,382612.5488,347668.3125,348994.6461,332222.7188,,345375.1022,364430.4375,361497.1875,347628.2813,,368531.0938,330660.4233,374989.3438,337297.5,370560.6875,,334313.3092,367708.4323,297135.83,381557.4063,381505.625,311199.4518,320389.5698,326568.4766,,391268.125,401728.6563,380474.7565,,403703.6875,402392.875,254255.2031,419658.3023,432399.125,405671.9063,348963.7714,411528.0313,401547.875,309083.6507,346781.6563,336341.375,,344586.5625,331709.0189,356669.2188,341630.4688,185840.6439,350599.4634,264540.2395,,270006.9063,,337880.3125,,,325064.2188,,257798.4108,,317050.25,376152.4375,376743.4063,268889.24,217504.358,,325875.5791,,,310606.7813,340312.5152,332613.4934,,338573.1875,281561.9688,318809.5313,333016.7813,,294421.549,166008.0843,,321708.5596
,,,,,,55721.21732,,,297308.0207,312481.0145,,124415.2152,,96101.40939,,209488.2813,131402.6319,,,289798.9688,,,271179.5313,,130887.845,390541.5938,160241.8281,172819.0469,,240850.3086,,172319.0965,301924.7759,,131483.0047,,86122.24581,,194312.1199,,55699.98663,,,,413891.9932,165944.9656,,372191.2866,156437.4844,189709.25,,227039.8982,168472.0153,76355.26952,,,,,164543.8594,118376.5,,306223.2801,,165805.3221,243662.272,,123980.4439,130586.6828,,,130096.4308,,121540.3367,132069.7656,,107803.2408,,,,,,117337.0078,103496.5937,,,135301.2656,,,,,,,,,,,,,,,,,,,,,,
,,,,103182.5234,,,,,,104550.9794,,,,,,,,,207603,,,,174913.1284,,,,138327.7914,,,,,123489.0078,,,,,,,,,95584.57882,,,,260567.5413,168054.0938,167472.9965,,100276.4861,136411.0754,,204020.4736,,,96113.25629,,175849.3281,99207.40629,162868.0469,169838.4462,,197446.6843,174363.8562,,,180891.0608,,188690.0469,,,,,156529.6114,,,,169238.4753,,195903.7188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,213342.9375,,,,,,,,250266.8036,,,,,,,264839.7055,,,,,,,,,245113.8508,,,,,,,,,,208187.4779,,,,136099.0061,247095.0197,338812.25,,242929.3977,,,,,344217.0233,,,,,255914.609,,,,,173602.7938,,244253.7691,266250.5071,313828.8438,,,,331250.125,,309331.5475,,,,,,,,282479.8199,,,,,,114932.8589,,258431.448,,,,,,,,,,,,,,,,,240100.4612,,,
,,,,,,,,,,,,,92122.51563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140225.1003,,,,183937.9707,184267.7357,281935.3125,204512.1094,,241324.8894,223463.8906,209443.0625,,195812.0715,240382.2372,,200607.2006,,191309.168
183217.1463,,178180.3106,150832.2779,,,,186376.3281,,156701.1096,,188392.1563,175337.3126,168038.9977,172056.625,,,142782,190816.0938,,,,,,,,182096.5313,121314.5974,190366.7656,,186776.8281,,175299.0322,194335.0156,199098.1847,,159066.6699,182997.4101,,,176244.4219,,182364.9688,,180276.3962,,,,203531.8058,212490.1875,,,190506.3705,,,208589.5542,140778.4219,,106550.5344,168978.0279,163134.2539,,216625.1719,187658.9063,169950.5156,,168381.875,141581.1514,152146.5919,,,,127498.7267,,183945.3594,,,,138701.2031,159563.6094,177340.0469,,,,,,,179217.2813,172248.2459,152017.5625,183610.8281,130678.2188,158770.6434,169609.6406,159928.2969,,,137966.6134,208419.4635,,165422.5781,152621.2007,178365.8273,,155704.1253,185528.1406,167926.3281,134981.9531,154143.7294
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49437.71635,122463.5122,,,113507.0781,,,103736.2193,110088.265,,126771.8014,117344.9503,144720.9184,146871.2506,91187.9398,109297.0778,160304.0625,207022.2845,97706.36178,110390.4922,,
160031.6837,,129443.0584,138381.0464,,147914.8502,,150392.5162,101955.9063,127801.4804,113874.7578,127722.5121,146396.065,135738.112,,152974.1406,110900.9531,,,,,,139209.8657,133922.1152,,103853.9698,139080.2556,,,,144087.7813,,,131032.9609,,146943.6094,144801.9127,159702.2598,99527.34919,,130445.1078,154535.7813,,,,,141454.8945,,,,152780.8281,,51773.01953,132990.1901,116943.9844,150627.5469,,,,,184044.6142,,126053.4215,,104974.1393,,,,,,,,,134889.5469,132074.1094,137353.2344,,146636.6011,,,,,85411.18531,130654.4065,,,,,,,,,,,,125826.3672,143801.2374,,98498.99924,,,135685.5377,,,119268.6382,123836.9866,104066.477,,
,72110.1489,84838.15625,91486,,84078.86314,121074.058,,,,135305.9814,84060.61719,,,78618.85156,,97242.41462,86813.58992,,,,,,69437.89149,,,106574.9781,82862.8363,73742.08524,,87209.86719,,118360.1635,134097.4898,,101174.1874,,,136434.4219,133049.8853,,,,,,,,,,85774.89683,100251.4325,,,,,104318.9222,,112277.8629,95383.8829,,95948.49254,,,,,85446.1678,,107022.8842,104787.613,104535.4916,90350.33755,,65112.6204,,95599.30469,,102083.8745,76322.88281,,73409.53584,80881.52901,,129838.2631,68377.60609,,,84959.90148,103827.0469,,,,98927.02935,93346.08034,,,101015.5513,,97064.96522,89354.56304,,,,,,,93365.65541,,,
,66834.77654,,,57370.35263,,,85468.6518,80581.2975,,,82754.63982,,,,69891.89844,,,,,68638.91406,,71876,,,,,84812.16406,,,,,68818.75825,,,,,89935.2277,,86028.96875,74114.77528,,,73298.8125,74019.87432,,,79081.57467,85794.79185,,90378.25781,86103.14499,,,69504.80469,,90592.93529,,,83734.05469,,,100641.3203,83301.57143,71373.10526,77556.31467,73862.11719,80238.95313,73870.11437,,,,,,,62001.22266,,,72613.9375,,84867.82031,,84962.80782,,,,,56154.26913,,,,70629.45513,,,,,70122.6875,73772.63281,,,68138.75856,,,,,,,,55342.7775
